Player,Real time,In-game time,Difficulty,F3,Mods,Date
TheeSizzler,11m 20s 233ms,11m 07s,1.16.1,Normal,F3,CaffeineMC
fe666,12m 37s 483ms,11m 50s 967ms,1.16.1,Easy,F3,CaffeineMC
TwoLetterName,12m 15s 783ms,12m 09s 817ms,1.16.1,Normal,F3,CaffeineMC
ninjabrain1,14m 05s 430ms,13m 41s 300ms,1.16.1,Easy,F3,CaffeineMC
TheBlazer97,14m 11s 883ms,13m 43s 250ms,1.16.1,Easy,F3,CaffeineMC
Illumina,13m 58s,13m 53s,1.16.1,Normal,No F3,CaffeineMC
reignex,14m 20s,14m 07s,1.16.1,Easy,F3,CaffeineMC
zylenox,14m 20s,14m 07s,1.16.1,Easy,F3,CaffeineMC
Feinberg,14m 17s 983ms,14m 10s 033ms,1.16.1,Easy,F3,CaffeineMC
Dav1E,14m 33s 317ms,14m 16s 716ms,1.16.1,Normal,F3,CaffeineMC
MinecrAvenger,14m 28s,14m 20s 800ms,1.16.1,Normal,F3,CaffeineMC
mikeyboytv,14m 51s 360ms,14m 26s 597ms,1.16.1,Easy,F3,CaffeineMC
Couriway,14m 39s 520ms,14m 36s 500ms,1.16.1,Normal,F3,CaffeineMC
Dylqn,15m 01s 400ms,14m 39s 234ms,1.16.1,Easy,F3,CaffeineMC
Korbanoes,15m 12s 970ms,14m 56s 800ms,1.16.1,Normal,F3,Vanilla
g4v1ng72,15m 24s,15m 12s 384ms,1.16.1,Easy,F3,CaffeineMC
JebFromGameHouse,15m 17s 817ms,15m 14s 383ms,1.16.1,Easy,F3,CaffeineMC
Hamazon,15m 31s 760ms,15m 16s 150ms,1.16.1,Easy,F3,CaffeineMC
Maljack,15m 39s 094ms,15m 18s 267ms,1.16.1,Easy,F3,CaffeineMC
Cube1337x,15m 29s 580ms,15m 18s 350ms,1.16.1,Easy,F3,CaffeineMC
NiceTwice,15m 37s,15m 29s,1.16.1,Normal,F3,CaffeineMC
CredAhead,15m 40s 560ms,15m 31s 233ms,1.16.1,Easy,F3,CaffeineMC
Dowsky,15m 51s 040ms,15m 44s 100ms,1.16.1,Easy,F3,CaffeineMC
21mustard,15m 56s 300ms,15m 46s 600ms,1.16.1,Easy,F3,CaffeineMC
AutomattPL,16m 24s,15m 57s,1.16.1,Normal,F3,CaffeineMC
Scar,16m 45s 350ms,16m 04s 050ms,1.16.1,Easy,F3,CaffeineMC
nieuh,16m 21s 800ms,16m 05s 167ms,1.16.1,Easy,F3,CaffeineMC
suravil,16m 22s 100ms,16m 06s 667ms,1.16.1,Normal,F3,CaffeineMC
lackingtoast,16m 28s 530ms,16m 09s,1.16.1,Normal,F3,CaffeineMC
Spropl,16m 43s 633ms,16m 15s 030ms,1.16.1,Easy,F3,CaffeineMC
UmidoMC,16m 27s 333ms,16m 16s 947ms,1.16.1,Easy,F3,Vanilla
Horsey,17m 24s 217ms,16m 21s 234ms,1.16.1,Easy,F3,CaffeineMC
PodX12,16m 36s 667ms,16m 25s 633ms,1.16.1,Easy,F3,CaffeineMC
Shell_Guy,16m 55s 430ms,16m 27s 600ms,1.16.1,Easy,F3,CaffeineMC
Eliborate,16m 50s 270ms,16m 37s 150ms,1.16.1,Easy,F3,CaffeineMC
nerdi,17m 01s 817ms,16m 37s 318ms,1.16.1,Normal,F3,CaffeineMC
ImpulseFun,16m 41s 008ms,16m 38s,1.16.1,Easy,F3,Vanilla
Strick_Nine_TV,16m 54s 300ms,16m 38s,1.16.1,Easy,F3,CaffeineMC
Funderful_TV,16m 45s 050ms,16m 40s 850ms,1.16.1,Easy,F3,CaffeineMC
EleventyBillion,17m 00s 310ms,16m 41s 850ms,1.16.1,Easy,F3,CaffeineMC
k4yfour,17m 19s 067ms,16m 42s 850ms,1.16.1,Easy,F3,CaffeineMC
Toph033,16m 59s 340ms,16m 46s 550ms,1.16.1,Easy,F3,CaffeineMC
shdodude,16m 55s 640ms,16m 47s 200ms,1.16.1,Easy,F3,CaffeineMC
Dani_,16m 50s 540ms,16m 47s 500ms,1.16.1,Normal,F3,CaffeineMC
Hoffik,17m 29s 040ms,16m 50s 700ms,1.16.1,Normal,F3,CaffeineMC
Zayahh,17m 07s 450ms,16m 50s 983ms,1.16.1,Easy,F3,CaffeineMC
MultiPorl,17m 00s,16m 55s 050ms,1.16.1,Normal,F3,CaffeineMC
SuperC,17m 41s 517ms,16m 57s 552ms,1.16.1,Easy,F3,CaffeineMC
7rowl,17m 22s 051ms,17m 04s 617ms,1.16.1,Normal,F3,CaffeineMC
hary0tt,17m 19s 150ms,17m 04s 900ms,1.16.1,Normal,F3,CaffeineMC
