;Username;Game;In-game-time;Date
0;nebrula;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 16m 29s 700ms (in-game time) (- place);16m 29s 700ms ();2021-04-10
1;nebrula;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 15m 58s 850ms (in-game time) (117th place);15m 58s 850ms ();2021-03-31
2;nebrula;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 18m 28s 300ms (in-game time) (- place);18m 28s 300ms ();2021-03-18
3;nebrula;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 19m 15s 100ms (in-game time) (- place);19m 15s 100ms ();2021-02-25
4;nebrula;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 22m 33s 050ms (in-game time) (- place);22m 33s 050ms ();2021-02-16
5;nebrula;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 24m 44s 650ms (in-game time) (- place);24m 44s 650ms ();2021-02-15
6;nebrula;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 25m 47s 800ms (in-game time) (- place);25m 47s 800ms ();2021-02-04
7;nebrula;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 26m 53s 700ms (in-game time) (- place);26m 53s 700ms ();2021-02-03
8;nebrula;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, CaffeineMC)						 36m 04s 020ms (in-game time) (- place);36m 04s 020ms ();2021-01-15
9;nebrula;Any% Glitchless - Random Seed, 1.16+							(1.16.1, Easy, F3, Vanilla)						 55m 01s 050ms (in-game time) (- place);55m 01s 050ms ();2021-01-10
